customer_id,tenure_months,monthly_charges,support_tickets,contract_type,payment_method,churned
CUST0001,3,79.50,4,Month-to-month,Card,Yes
CUST0002,18,54.20,1,One year,UPI,No
CUST0003,42,92.10,0,Two year,Bank Transfer,No
CUST0004,7,110.40,5,Month-to-month,Card,Yes
CUST0005,26,64.80,1,One year,UPI,No
CUST0006,11,88.30,3,Month-to-month,Card,No
CUST0007,55,49.90,0,Two year,Bank Transfer,No
CUST0008,2,132.70,6,Month-to-month,Card,Yes
CUST0009,35,71.40,1,One year,UPI,No
CUST0010,14,105.50,4,Month-to-month,Bank Transfer,Yes
CUST0011,48,58.60,0,Two year,UPI,No
CUST0012,9,96.20,2,Month-to-month,Card,No
CUST0013,22,82.70,3,One year,Card,No
CUST0014,5,118.90,5,Month-to-month,UPI,Yes
CUST0015,31,67.30,0,Two year,Bank Transfer,No
CUST0016,16,74.60,2,One year,Card,No
CUST0017,4,125.20,7,Month-to-month,Card,Yes
CUST0018,52,51.80,1,Two year,UPI,No
